Amount,Tip,Gender,Smoker,Day,Time,Partysize,,,,
13.03,2.00,Male,No,Thur,Lunch,2,,,,
18.28,4.00,M,No,Thur,Lunch,2,,,,
24.71,5.85,Male,No,Thur,Lunch,2,,,,
21.16,300.00,Male,No,Thur,Lunch,2,,,,
28.97,3.00,Male,Yes,Fri,Dinner,2,,,,
22.49,3.50,Male,No,Fri,Dinner,2,,,,
5.75,1.00,Female,Yes,Fri,Dinner,2,,,,
16.32,4.30,Female,Yes,Fri,Dinner,2,,,,
22.75,3.25,Female,No,Fri,Dinner,2,,,,
40.17,4.73,Male,Yes,Fri,Dinner,4,,,,
27.28,4.00,Male,Yes,Fri,Dinner,2,,,,
12.03,1.50,Male,Yes,Friday,LD,2,,,,
21.01,3.00,Male,Yes,Fri,Dinner,2,,,,
12.46,1.50,Male,No,Fri,Dinner,2,,,,
11.35,2.50,Female,Yes,Fri,Dinner,2,,,,
15.38,3.00,Female,Yes,Fri,Dinner,2,,,,
44.30,2.50,Female,Yes,Sat,Dinner,3,,,,
22.42,3487.00,Female,Yes,Sat,Dinner,2,,,,
20.92,4.08,Female,No,Sat,Dinner,2,,,,
15.36,1.64,Male,Yes,Sat,LD,2,,,,
20.49,4.06,Male,Yes,Sat,Dinner,2,,,,
25.21,4.29,Male,Yes,Sat,Dinner,2,,,,
18.24,3.76,Male,No,Sat,Dinner,2,,,,
14.31,4.00,Female,Yes,Sat,Dinner,2,,,,
14.00,3.00,Male,No,Sat,Dinner,2,,,,
7.25,1.00,Female,No,Sat,Dinner,1,,,,
38.07,4.00,Male,Y,Sun,Dinner,3,,,,
23.95,2.55,Male,No,Sun,Dinner,2,,,,
25.71,4.00,Female,No,Sun,Dinner,3,,,,
17.31,3.50,Female,No,,Dinner,2,,,,
29.93,5.07,Male,No,Sun,Dinner,4,,,,
10.65,1.50,Female,No,Thur,Lunch,2,,,,
12.43,1.80,Female,No,Thur,Lunch,2,,,,
24.08,2.92,Female,No,Thur,Lunch,0,,,,
11.69,2.31,Male,No,Thur,Lunch,2,,,,
13.42,1.68,F,N,Thur,Lunch,2,,,,
14.26,2.50,Male,No,Thur,Lunch,2,,,,
15.95,2.00,Male,No,Thur,Lunch,2,,,,
12.48,2.52,Female,No,Thur,Lunch,2,,,,
29.80,4.20,Female,No,Thur,L,26,,,,
8.52,1.48,Male,No,Thur,Lunch,2,,,,
14.52,2.00,Female,No,Thur,Lunch,2,,,,
11.38,2.00,Female,No,,Lunch,2,,,,
22.82,2.18,Male,No,Thur,Lunch,3,,,,
19.08,1.50,Male,No,Thur,Lunch,2,,,,
20.27,2.83,Female,No,Thur,Lunch,2,,,,
11.17,1.50,Female,No,Thur,Lunch,2,,,,
12.26,2.00,Female,No,Thurs,Lunch,2,,,,
18.26,3.25,Female,No,Thur,Lunch,2,,,,
8.51,1.25,Female,No,Thur,Lunch,2,,,,
10.33,2.00,Female,No,Thur,Lunch,2,,,,
14.15,2.00,Female,No,Thur,Lunch,2,,,,
16.00,2.00,Male,Yes,Thur,Lunch,2,,,,
13.16,2.75,Female,No,Thur,Lunch,2,,,,
17.47,3.50,Female,No,Thur,Lunch,2,,,,
34.30,6.70,Male,No,Thurs,Lunch,6,,,,
41.19,5.00,Male,No,Thur,Lunch,5,,,,
27.05,5.00,Female,No,Thur,Lunch,6,,,,
16.43,2.30,Female,No,Thur,Lunch,2,,,,
8.35,1.50,Female,No,Thur,Lunch,2,,,,
18.64,1.36,Female,No,Thur,Lunch,3,,,,
11.87,1.63,Female,No,Thur,Lunch,22,,,,
9.78,1.73,Male,No,Thur,Lunch,2,,,,
7.51,2.00,Male,No,Thur,Lunch,2,,,,
14.07,2.50,Male,No,Sun,Dinner,2,,,,
13.13,2.00,Male,No,Sun,Dinner,2,,,,
17.26,2.74,Male,No,Sun,Dinner,3,,,,
24.55,2.00,Male,No,Sun,Dinner,4,,,,
19.77,2.00,Male,No,Sun,Dinner,4,,,,
29.85,5.14,Female,No,Sun,Dinner,5,,,,
48.17,5.00,Male,No,Sun,Dinner,6,,,,
25.00,3.75,Female,No,Sun,DD,4,,,,
13.39,2.61,Female,No,Sun,Dinner,2,,,,
16.49,2.00,M,No,Sun,Dinner,4,,,,
21.50,3.50,Male,No,Sun,Dinner,4,,,,
12.66,2.50,Male,No,Sun,Dinner,2,,,,
16.21,2.00,Female,No,Sun,Dinner,3,,,,
13.81,2.00,Male,No,Sun,Dinner,2,,,,
17.51,3.00,Female,Yes,Sun,Dinner,2,,,,
24.52,3.48,Male,No,Sun,Dinner,3,,,,
20.76,2.24,Male,No,Sun,Dinner,2,,,,
31.71,4.50,Male,No,Sun,Dinner,4,,,,
10.59,1.61,Female,Yes,Sat,Dinner,2,,,,
10.63,2.00,Female,Yes,Sat,Dinner,2,,,,
50.81,10.00,M,Yes,Sat,Dinner,3,,,,
117.81,3.16,Male,Yes,Sat,Dinner,2,,,,
7.25,,Male,Yes,Sun,Dinner,2,,,,
31.85,3.18,Male,Yes,S,Dinner,2,,,,
16.82,4.00,Male,Yes,Sun,Dinner,2,,,,
32.90,3.11,Male,Yes,Sun,Dinner,2,,,,
17.89,2.00,Male,Yes,Sun,Dinner,0.2,,,,
14.48,2.00,Male,Yes,Sun,Dinner,2,,,,
96.60,4.00,Female,Yes,Sun,Dinner,2,,,,
34.63,3.55,Male,Yes,Sun,Dinner,2,,,,
34.65,3.68,Male,Yes,Sun,Dinner,4,,,,
23.33,5.65,Male,Yes,Sun,Dinner,2,,,,
45.35,3.50,Male,Yes,Sun,Dinner,3,,,,
23.17,6.50,Male,Yes,Sun,Dinner,4,,,,
40.55,3.00,Male,Yes,Sun,Dinner,2,,,,
20.69,5.00,Male,No,Sun,Dinner,5,,,,
20.90,3.50,Female,,Sun,Dinner,3,,,,
30.46,2.00,Male,Yes,San,Dinner,5,,,,
18.15,3.50,Female,Yes,Sun,Dinner,3,,,,
23.10,4.00,Male,Yes,Sun,Dinner,3,,,,
15.69,1.50,Male,Yes,Sun,Dinner,2,,,,
19.81,4.19,F,Yes,Thur,Lunch,2,,,,
28.44,2.56,Male,Yes,Thur,Lunch,2,,,,
15.48,2.02,Male,Y,Thur,Lunch,12,,,,
16.58,4.00,Male,Yes,Thur,Lunch,2,,,,
7.56,1.44,Male,No,Thur,Lunch,2,,,,
10.34,2.00,Male,Yes,Thur,Lunch,2,,,,
10.34,2.00,Male,Yes,Thur,Lunch,2,,,,
43.11,5.00,Female,Yes,Thur,Lunch,4,,,,
13.00,2.00,Female,Yes,Thur,Lunch,-2,,,,
13.51,2.00,Male,Yes,Thur,Lunch,2,,,,
18.71,4.00,Male,Yes,Thur,Lunch,3,,,,
12.74,2.01,Female,Yes,T,Lunch,2,,,,
13.00,2.00,Female,Yes,Thur,Lunch,2,,,,
16.40,2.50,Female,Yes,Thur,Lunch,2,,,,
20.53,4.00,Male,Yes,Thur,Lunch,4,,,,
16.47,3.23,Female,Yes,Thur,Lunch,3,,,,
26.59,3.41,Male,Yes,Sat,Dinner,3,,,,
38.73,3.00,Male,Yes,Sat,Dinner,4,,,,
24.27,2.03,Mle,Yes,Sat,Dinner,2,,,,
12.76,2.23,Female,Yes,Sat,Dinner,2,,,,
30.06,2.00,Male,Yes,Sat,Dinner,3,,,,
25.89,5.16,Male,Yes,Sat,Dinner,4,,,,
48.33,9.00,Male,No,Sat,Dinner,4,,,,
13.27,2.50,Fe,Yes,Sat,Dinner,2,,,,
28.17,6.50,Female,Yes,Sat,Dinner,3,,,,
12.90,1.10,Female,Yes,Sat,Dinner,2,,,,
28.15,3.00,Male,Yes,Sat,Dinner,5,,,,
11.59,1.50,Male,Yes,Sat,Dinner,2,,,,
7.74,1.44,Male,Yes,Sat,Dinner,2,,,,
30.14,3.09,Female,Yes,Sat,Di,0,,,,
12.16,2.20,Male,Yes,Fri,Lunch,2,,,,
13.42,3.48,Female,Yes,Fri,Lunch,2,,,,
8.58,1.92,Male,Yes,Fri,Lunch,1,,,,
15.98,3.00,Female,No,Fri,Lunch,3,,,,
13.42,1.58,Male,Yes,Fri,Lunch,2,,,,
16.27,2.50,Female,Yes,Fri,Lunch,2,,,,
10.09,2.00,Female,Yes,Fri,Lunch,2,,,,
20.45,3.00,Male,No,Sat,er,4,,,,
13.28,2.72,Male,No,Sat,Dinner,2,,,,
22.12,288.00,Female,,Sun,Dinner,2,,,,
24.01,2.00,M,Yes,Sat,Dinner,4,,,,
15.69,3.00,Male,Yes,Sat,Dinner,3,,,,
11.61,3.39,Male,No,Sat,Dinner,2,,,,
10.77,1.47,Male,No,Sat,Dinner,2,,,,
15.53,3.00,Male,Yes,Sun,Dinner,2,,,,
10.07,1.25,Male,No,Sat,Dinner,2,,,,
12.60,1.00,Male,Yes,Sat,Dinner,2,,,,
32.83,1.17,Male,Yes,Sat,Dinner,2,,,,
35.83,4.67,Female,No,Sat,Dinner,3,,,,
29.03,5.92,Male,No,Sat,Dinner,38,,,,
27.18,2.00,Female,Yes,SSS,Dinner,2,,,,
22.67,2.00,Male,Yes,Sat,Dinner,2,,,,
17.82,1.75,Male,No,Sat,Dinner,2,,,,
18.78,3.00,Female,No,Thur,Afd,2,,,,
19.29,3.23,Male,Yes,Thur,Dinner,3,,,,
26.34,4.12,Female,No,,L,4,,,,
24.21,3.19,Female,No,Sun,Dinner,2,,,,
18.23,2.18,Female,Yes,Sat,Lunch,3,,,,
20.50,2.10,Male,Yes,Sat,Dinner,2,,,,
30.87,3.69,Male,Yes,Sun,Lunch,29,,,,
24.56,2.88,Female,No,Sun,Lunch,2,,,,
13.69,2.00,Female,Yes,Thur,Lunch,2,,,,
17.89,2.98,Male,Yes,Thur,Dinner,3,,,,
22.89,3.00,Female,No,Thur,Dinner,2,,,,
19.10,3.10,Male,No,Sat,Lunch,2,,,,
9.87,1.68,Female,No,Sat,Lunch,1,,,,
19.65,2.89,Male,Yes,Sun,Dinner,2,,,,
25.68,3.87,Female,Yes,Sat,Lunch,3,,,,
33.87,4.00,Female,No,Sun,Lunch,4,,,,
40.45,4.85,Male,Yes,Thurs,Dinner,4,,,,
33.76,3.29,Female,No,Sat,Dinner,3,,,,
29.87,3.70,Female,,Sun,Dinner,45,,,,
18.98,1.80,Female,Yes,S,Lunch,2,,,,
8.88,1.50,Male,Yes,Sun,Dinner,1,,,,
13.89,2.38,Female,No,Fri,Lunch,2,,,,
29.99,3.39,Female,No,Fri,Dinner,3,,,,
43.80,4.39,Male,Yes,Sat,Lunch,3,,,,
8.90,1.50,Male,No,Fri,Lunch,1,,,,
23.91,2.65,Male,Yes,Fri,Dinner,2,,,,
33.80,3.00,Female,No,Fri,Dinner,3,,,,
40.90,4.67,Female,Yes,Sat,Lunch,3,,,,
22.66,2.50,Male,No,Sun,Lunch,3,,,,
29.76,3.00,Female,No,Sun,Lunch,3,,,,
15.00,2.50,Female,Yes,Sat,Dinner,2,,,,
22.50,2.60,Male,No,Thur,Lunch,3,,,,
33.60,3.00,Male,No,Fri,Dinner,2,,,,
25.65,2.56,Female,Yes,Sat,Lunch,2,,,,
30.00,3.00,Female,No,Sun,Lunch,3,,,,
16.70,1.50,Male,Yes,Thur,Diner,2,,,,
25.55,2.30,Female,No,Fri,Lunch,3,,,,
27.79,2.59,Female,No,Sat,Dinner,2,,,,
30.30,2.15,Male,Yes,Thur,Dinner,3,,,,
10.10,1.80,F,No,Thur,Lunch,2,,,,
16.68,1.90,Female,Yes,Sn,Dinner,2,,,,
16.68,1.90,Female,Yes,Sun,Dinner,2,,,,
19.90,2.00,Male,Yes,Sun,Lunch,2,,,,
30.35,3.30,Female,No,Sat,Lunch,3,,,,
44.34,4.10,Male,Yes,Sun,Dinner,4,,,,
23.45,2.40,Male,No,Sat,Lunch,2,,,,
17.70,2.35,Female,No,Thur,Lunch,2,,,,
24.50,2.69,Male,No,Fri,Lunch,3,,,,
18.00,1.90,Female,Yes,Thur,Dinner,2,,,,
27.80,2.59,Male,s,Fri,Lunch,3,,,,
35.60,13.55,Male,No,Fri,Dinner,3,,,,+
29.90,2.10,Female,No,Fri,Lunch,3,,,,
16.57,1.79,Female,Yes,Sun,Dinner,2,,,,
8.88,1.00,Male,Yes,Fri,Lunch,1,,,,
20.66,1.90,Male,No,Thur,Diner,2,,,,
44.40,3.89,Female,No,Sun,Lunch,3,,,,
32.56,2.96,Female,Yes,Sat,Lunch,3,,,,
27.80,2.59,Male,Yes,Fri,Lunch,3,,,,
35.60,3.55,M,No,Ft,Dinner,3,,,,
29.90,2.10,Female,No,Fri,Lunch,3,,,,
16.57,1.79,Female,Yes,Sun,Dinner,2,,,,
8.88,1.00,Male,Yes,Fri,Lunch,1,,,,
20.66,1.90,Male,No,Thur,Dinner,2,,,,
44.40,3.89,Female,No,Sun,Lunch,3,,,,
32.56,2.96,Female,Yes,Sat,Lunch,3,,,,
13.55,2.89,M,N,S,DDD,3,,,,
11.43,1.47,Male,N,S,Lan,2,,,,
14.56,3.45,Male,Yes,Sun,Dinner,3,,,,
10.07,11.25,Male,No,Sat,Dinner,2,,,,
22.01,3.23,F,,Fri,Lunch,2,,,,
13.69,2.00,Female,Yes,Thur,Lunch,2,,,,
21.34,2.98,Male,Yes,Thur,Dinner,3,,,,
12.89,3.00,Female,No,Thur,Dinner,2,,,,
19.65,3.10,Male,No,Sat,Lunch,2,,,,
1.01,1.68,Female,No,Sat,L,1,,,,
19.65,2.09,Male,Yes,Sun,Dinner,2,,,,
21.56,3.66,Female,Yes,Sat,Lunch,3,,,,
"28,87",3.67,Female,No,Sun,Lunch,3,,,,
22.01,4.00,Male,Yes,Thurs,Dinner,4,,,,
19.76,2.21,Male,No,Sat,Dinner,3,,,,
19.09,3.00,Female,No,Thur,Dinner,3,,,,
23.90,3.98,Male,Yes,Thur,Dinner,3,,,,
25-89,3.89,Female,No,,Lunch,3,,,,
20.09,20.96,Female,No,Sun,Dinner,4,,,,
14.56,2.78,Female,Yes,Sat,Lunch,2,,,,
19.23,2.01,Female,No,Sat,Lunch,3,,,,
28.45,2.45,Female,No,Thurs,Dinner,2,,,,
33.45,4.67,Female,Yes,Sat,Lunch,3,,,,
24.67,2.50,Male,No,Sun,Lunch,3,,,,
26.90,3.00,Female,No,Sun,Lunch,3,,,,
17.60,2.50,Female,Yes,Sat,Dinner,2,,,,
21.00,2.60,Male,No,Thur,Lunch,3,,,,
30.15,3.00,Male,No,Fri,Dinner,2,,,,
29.35,2.56,Female,Yes,Sat,Lunch,2,,,,
31.50,3.00,Female,No,Sun,Lunch,3,,,,
14.69,1.50,Male,Yes,Thur,Dinner,2,,,,
24.00,2.30,Female,No,Fri,Lunch,3,,,,
26.35,2.59,Female,No,S,D,2,,,,
16.65,2.94,F,N,Sun,Dinner,3,,,,
21.56,3.34,Male,Yes,Sat,Lunch,3,,,,
25.68,2.78,Female,No,Sun,Lunch,3,,,,
22.33,3.90,M,Yes,Thurs,Dinner,4,,,,
18.67,2.09,F,No,Sat,Dinner,3,,,,
18.09,3.45,Female,No,Thur,Lunch,3,,,,
21.67,3.00,Male,Yes,Thur,Dinner,4,,,,
27-23,2.90,Male,No,Fri,Lunch,3,,,,
18.89,22.23,Male,No,Sun,Lunch,5,,,,
16.37,3.21,Female,Yes,Sat,Lunch,2,,,,
19.12,2.22,Female,No,SS,Lunch,4,,,,
18.99,3.30,Fmle,,Th,L,-2,,,,
6.69,0.01,Male,N,Thurs,Dinner,22,,,,
21.37,1.00,Female,N,sun,L,,,,,
13.28,2.22,Female,Yes,Sat,Lu,10,,,,
-7.78,1.99,Femle,No,Trhurs,Lunch,1,,,,
9.96,2.87,F,Y,Fri,Din,4,,,,
18.38,3.01,Fem,N,Sat,Dinner,3,,,,
16.69,2.68,Male,No,Sun,Lunch,3,,,,
22.38,3.01,M,No,Sun,Din/Lun,2,,,,
24.55,2.0`,Male,No,Sat,Lunch,2,,,,
20.00,12.90,Female,Yes,Sun,Dinner,5,,,,
27.56,3.59,Female,Yes,Sun,Dinner,4,,,,
