amount,tip,gender,smoker,day,time,partysize
10.07,1.83,female,False,thursday,lunch,1
32.68,5.0,male,True,thursday,lunch,2
15.98,2.03,male,False,thursday,lunch,2
34.83,5.17,female,False,thursday,lunch,4
13.03,2.0,male,False,thursday,lunch,2
18.28,4.0,male,False,thursday,lunch,2
24.71,5.85,male,False,thursday,lunch,2
21.16,21.42,male,False,thursday,lunch,2
28.97,3.0,male,True,friday,dinner,2
22.49,3.5,male,False,friday,dinner,2
5.75,1.0,female,True,friday,dinner,2
16.32,4.3,female,True,friday,dinner,2
22.75,3.25,female,False,friday,dinner,2
40.17,4.73,male,True,friday,dinner,4
27.28,4.0,male,True,friday,dinner,2
12.03,1.5,male,True,friday,dinner,2
21.01,3.0,male,True,friday,dinner,2
12.46,1.5,male,False,friday,dinner,2
11.35,2.5,female,True,friday,dinner,2
15.38,3.0,female,True,friday,dinner,2
44.3,2.5,female,True,saturday,dinner,3
22.42,21.42,female,True,saturday,dinner,2
20.92,4.08,female,False,saturday,dinner,2
15.36,1.64,male,True,saturday,dinner,2
20.49,4.06,male,True,saturday,dinner,2
25.21,4.29,male,True,saturday,dinner,2
18.24,3.76,male,False,saturday,dinner,2
14.31,4.0,female,True,saturday,dinner,2
14.0,3.0,male,False,saturday,dinner,2
7.25,1.0,female,False,saturday,dinner,1
38.07,4.0,male,True,sunday,dinner,3
23.95,2.55,male,False,sunday,dinner,2
25.71,4.0,female,False,sunday,dinner,3
17.31,3.5,female,False,saturday,dinner,2
29.93,5.07,male,False,sunday,dinner,4
10.65,1.5,female,False,thursday,lunch,2
12.43,1.8,female,False,thursday,lunch,2
24.08,2.92,female,False,thursday,lunch,3
11.69,2.31,male,False,thursday,lunch,2
13.42,1.68,female,False,thursday,lunch,2
14.26,2.5,male,False,thursday,lunch,2
15.95,2.0,male,False,thursday,lunch,2
12.48,2.52,female,False,thursday,lunch,2
29.8,4.2,female,False,thursday,lunch,26
8.52,1.48,male,False,thursday,lunch,2
14.52,2.0,female,False,thursday,lunch,2
11.38,2.0,female,False,thursday,lunch,2
22.82,2.18,male,False,thursday,lunch,3
19.08,1.5,male,False,thursday,lunch,2
20.27,2.83,female,False,thursday,lunch,2
11.17,1.5,female,False,thursday,lunch,2
12.26,2.0,female,False,thursday,lunch,2
18.26,3.25,female,False,thursday,lunch,2
8.51,1.25,female,False,thursday,lunch,2
10.33,2.0,female,False,thursday,lunch,2
14.15,2.0,female,False,thursday,lunch,2
16.0,2.0,male,True,thursday,lunch,2
13.16,2.75,female,False,thursday,lunch,2
17.47,3.5,female,False,thursday,lunch,2
34.3,6.7,male,False,thursday,lunch,6
41.19,5.0,male,False,thursday,lunch,5
27.05,5.0,female,False,thursday,lunch,6
16.43,2.3,female,False,thursday,lunch,2
8.35,1.5,female,False,thursday,lunch,2
18.64,1.36,female,False,thursday,lunch,3
11.87,1.63,female,False,thursday,lunch,22
9.78,1.73,male,False,thursday,lunch,2
7.51,2.0,male,False,thursday,lunch,2
14.07,2.5,male,False,sunday,dinner,2
13.13,2.0,male,False,sunday,dinner,2
17.26,2.74,male,False,sunday,dinner,3
24.55,2.0,male,False,sunday,dinner,4
19.77,2.0,male,False,sunday,dinner,4
29.85,5.14,female,False,sunday,dinner,5
48.17,5.0,male,False,sunday,dinner,6
25.0,3.75,female,False,sunday,dinner,4
13.39,2.61,female,False,sunday,dinner,2
16.49,2.0,male,False,sunday,dinner,4
21.5,3.5,male,False,sunday,dinner,4
12.66,2.5,male,False,sunday,dinner,2
16.21,2.0,female,False,sunday,dinner,3
13.81,2.0,male,False,sunday,dinner,2
17.51,3.0,female,True,sunday,dinner,2
24.52,3.48,male,False,sunday,dinner,3
20.76,2.24,male,False,sunday,dinner,2
31.71,4.5,male,False,sunday,dinner,4
10.59,1.61,female,True,saturday,dinner,2
10.63,2.0,female,True,saturday,dinner,2
50.81,10.0,male,True,saturday,dinner,3
117.81,3.16,male,True,saturday,dinner,2
7.25,1.38,male,True,sunday,dinner,2
31.85,3.18,male,True,saturday,dinner,2
16.82,4.0,male,True,sunday,dinner,2
32.9,3.11,male,True,sunday,dinner,2
17.89,2.0,male,True,sunday,dinner,2
14.48,2.0,male,True,sunday,dinner,2
96.6,4.0,female,True,sunday,dinner,2
34.63,3.55,male,True,sunday,dinner,2
34.65,3.68,male,True,sunday,dinner,4
23.33,5.65,male,True,sunday,dinner,2
45.35,3.5,male,True,sunday,dinner,3
23.17,6.5,male,True,sunday,dinner,4
40.55,3.0,male,True,sunday,dinner,2
20.69,5.0,male,False,sunday,dinner,5
20.9,3.5,female,False,sunday,dinner,3
30.46,2.0,male,True,sunday,dinner,5
18.15,3.5,female,True,sunday,dinner,3
23.1,4.0,male,True,sunday,dinner,3
15.69,1.5,male,True,sunday,dinner,2
19.81,4.19,female,True,thursday,lunch,2
28.44,2.56,male,True,thursday,lunch,2
15.48,2.02,male,True,thursday,lunch,12
16.58,4.0,male,True,thursday,lunch,2
7.56,1.44,male,False,thursday,lunch,2
10.34,2.0,male,True,thursday,lunch,2
10.34,2.0,male,True,thursday,lunch,2
43.11,5.0,female,True,thursday,lunch,4
13.0,2.0,female,True,thursday,lunch,4
13.51,2.0,male,True,thursday,lunch,2
18.71,4.0,male,True,thursday,lunch,3
12.74,2.01,female,True,thursday,lunch,2
13.0,2.0,female,True,thursday,lunch,2
16.4,2.5,female,True,thursday,lunch,2
20.53,4.0,male,True,thursday,lunch,4
16.47,3.23,female,True,thursday,lunch,3
26.59,3.41,male,True,saturday,dinner,3
38.73,3.0,male,True,saturday,dinner,4
24.27,2.03,male,True,saturday,dinner,2
12.76,2.23,female,True,saturday,dinner,2
30.06,2.0,male,True,saturday,dinner,3
25.89,5.16,male,True,saturday,dinner,4
48.33,9.0,male,False,saturday,dinner,4
13.27,2.5,female,True,saturday,dinner,2
28.17,6.5,female,True,saturday,dinner,3
12.9,1.1,female,True,saturday,dinner,2
28.15,3.0,male,True,saturday,dinner,5
11.59,1.5,male,True,saturday,dinner,2
7.74,1.44,male,True,saturday,dinner,2
30.14,3.09,female,True,saturday,dinner,11
12.16,2.2,male,True,friday,lunch,2
13.42,3.48,female,True,friday,lunch,2
8.58,1.92,male,True,friday,lunch,1
15.98,3.0,female,False,friday,lunch,3
13.42,1.58,male,True,friday,lunch,2
16.27,2.5,female,True,friday,lunch,2
10.09,2.0,female,True,friday,lunch,2
20.45,3.0,male,False,saturday,dinner,4
13.28,2.72,male,False,saturday,dinner,2
22.12,21.42,female,False,sunday,dinner,2
24.01,2.0,male,True,saturday,dinner,4
15.69,3.0,male,True,saturday,dinner,3
11.61,3.39,male,False,saturday,dinner,2
10.77,1.47,male,False,saturday,dinner,2
15.53,3.0,male,True,sunday,dinner,2
10.07,1.25,male,False,saturday,dinner,2
12.6,1.0,male,True,saturday,dinner,2
32.83,1.17,male,True,saturday,dinner,2
35.83,4.67,female,False,saturday,dinner,3
29.03,5.92,male,False,saturday,dinner,27
27.18,2.0,female,True,saturday,dinner,2
22.67,2.0,male,True,saturday,dinner,2
17.82,1.75,male,False,saturday,dinner,2
18.78,3.0,female,False,thursday,lunch,2
19.29,3.23,male,True,thursday,dinner,3
26.34,4.12,female,False,thursday,lunch,4
24.21,3.19,female,False,sunday,dinner,2
18.23,2.18,female,True,saturday,lunch,3
20.5,2.1,male,True,saturday,dinner,2
30.87,3.69,male,True,sunday,lunch,27
24.56,2.88,female,False,sunday,lunch,2
13.69,2.0,female,True,thursday,lunch,2
17.89,2.98,male,True,thursday,dinner,3
22.89,3.0,female,False,thursday,dinner,2
19.1,3.1,male,False,saturday,lunch,2
9.87,1.68,female,False,saturday,lunch,1
19.65,2.89,male,True,sunday,dinner,2
25.68,3.87,female,True,saturday,lunch,3
33.87,4.0,female,False,sunday,lunch,4
40.45,4.85,male,True,thursday,dinner,4
33.76,3.29,female,False,saturday,dinner,3
29.87,3.7,female,False,sunday,dinner,27
18.98,1.8,female,True,thursday,lunch,2
8.88,1.5,male,True,sunday,dinner,1
13.89,2.38,female,False,friday,lunch,2
29.99,3.39,female,False,friday,dinner,3
43.8,4.39,male,True,saturday,lunch,3
8.9,1.5,male,False,friday,lunch,1
23.91,2.65,male,True,friday,dinner,2
33.8,3.0,female,False,friday,dinner,3
40.9,4.67,female,True,saturday,lunch,3
22.66,2.5,male,False,sunday,lunch,3
29.76,3.0,female,False,sunday,lunch,3
15.0,2.5,female,True,saturday,dinner,2
22.5,2.6,male,False,thursday,lunch,3
33.6,3.0,male,False,friday,dinner,2
25.65,2.56,female,True,saturday,lunch,2
30.0,3.0,female,False,sunday,lunch,3
16.7,1.5,male,True,thursday,dinner,2
25.55,2.3,female,False,friday,lunch,3
27.79,2.59,female,False,saturday,dinner,2
30.3,2.15,male,True,thursday,dinner,3
10.1,1.8,female,False,thursday,lunch,2
16.68,1.9,female,True,sunday,dinner,2
16.68,1.9,female,True,sunday,dinner,2
19.9,2.0,male,True,sunday,lunch,2
30.35,3.3,female,False,saturday,lunch,3
44.34,4.1,male,True,sunday,dinner,4
23.45,2.4,male,False,saturday,lunch,2
17.7,2.35,female,False,thursday,lunch,2
24.5,2.69,male,False,friday,lunch,3
18.0,1.9,female,True,thursday,dinner,2
27.8,2.59,male,False,friday,lunch,3
35.6,13.55,male,False,friday,dinner,3
29.9,2.1,female,False,friday,lunch,3
16.57,1.79,female,True,sunday,dinner,2
8.88,1.0,male,True,friday,lunch,1
20.66,1.9,male,False,thursday,dinner,2
44.4,3.89,female,False,sunday,lunch,3
32.56,2.96,female,True,saturday,lunch,3
27.8,2.59,male,True,friday,lunch,3
35.6,3.55,male,False,saturday,dinner,3
29.9,2.1,female,False,friday,lunch,3
16.57,1.79,female,True,sunday,dinner,2
8.88,1.0,male,True,friday,lunch,1
20.66,1.9,male,False,thursday,dinner,2
44.4,3.89,female,False,sunday,lunch,3
32.56,2.96,female,True,saturday,lunch,3
13.55,2.89,male,False,saturday,dinner,3
11.43,1.47,male,False,thursday,lunch,2
14.56,3.45,male,True,sunday,dinner,3
10.07,11.25,male,False,saturday,dinner,2
22.01,3.23,female,False,friday,lunch,2
13.69,2.0,female,True,thursday,lunch,2
21.34,2.98,male,True,thursday,dinner,3
12.89,3.0,female,False,thursday,dinner,2
19.65,3.1,male,False,saturday,lunch,2
1.01,1.68,female,False,saturday,lunch,1
19.65,2.09,male,True,sunday,dinner,2
21.56,3.66,female,True,saturday,lunch,3
2887.0,3.67,female,False,sunday,lunch,3
22.01,4.0,male,True,thursday,dinner,4
19.76,2.21,male,False,saturday,dinner,3
19.09,3.0,female,False,thursday,dinner,3
23.9,3.98,male,True,thursday,dinner,3
604.85,3.89,female,False,thursday,lunch,3
20.09,20.96,female,False,sunday,dinner,4
14.56,2.78,female,True,saturday,lunch,2
19.23,2.01,female,False,saturday,lunch,3
28.45,2.45,female,False,thursday,dinner,2
33.45,4.67,female,True,saturday,lunch,3
24.67,2.5,male,False,sunday,lunch,3
26.9,3.0,female,False,sunday,lunch,3
17.6,2.5,female,True,saturday,dinner,2
21.0,2.6,male,False,thursday,lunch,3
30.15,3.0,male,False,friday,dinner,2
29.35,2.56,female,True,saturday,lunch,2
31.5,3.0,female,False,sunday,lunch,3
14.69,1.5,male,True,thursday,dinner,2
24.0,2.3,female,False,friday,lunch,3
26.35,2.59,female,False,saturday,dinner,2
16.65,2.94,female,False,sunday,dinner,3
21.56,3.34,male,True,saturday,lunch,3
25.68,2.78,female,False,sunday,lunch,3
22.33,3.9,male,True,thursday,dinner,4
18.67,2.09,female,False,saturday,dinner,3
18.09,3.45,female,False,thursday,lunch,3
21.67,3.0,male,True,thursday,dinner,4
28.45,2.9,male,False,friday,lunch,3
18.89,21.42,male,False,sunday,lunch,5
16.37,3.21,female,True,saturday,lunch,2
19.12,2.22,female,False,thursday,lunch,4
18.99,3.3,female,False,thursday,lunch,2
6.69,0.01,male,False,thursday,dinner,22
21.37,1.0,female,False,sunday,lunch,2
13.28,2.22,female,True,saturday,lunch,10
10.88,1.99,female,False,thursday,lunch,1
9.96,2.87,female,True,friday,dinner,4
18.38,3.01,female,False,saturday,dinner,3
16.69,2.68,male,False,sunday,lunch,3
22.38,3.01,male,False,sunday,dinner,2
24.55,2.0,male,False,saturday,lunch,2
20.0,12.9,female,True,sunday,dinner,5
27.56,3.59,female,True,sunday,dinner,4
